Climate_change_in_South_Korea	64	0
Climate_change_in_Tuvalu	140	0
Climate_change_in_popular_culture	189	273
Climate_change_in_the_Arctic	927	88
Climate_change_in_the_United_Kingdom	117	266
Climate_change_in_the_United_States	483	1540
Climate_change_mitigation	2070	8790
Climate_change_mitigation_scenarios	271	4020
Climate_change_opinion_by_country	42	6
Climate_change_scenario	6	0
Climate_change,_industry_and_society	160	0
Climate_commitment	70	0
Climate_engineering	1463	7980
Climate_oscillation	24	0
Climate_resilience	1	0
Climate_sensitivity	427	2040
Climatic_Research_Unit	537	7644
Cloud_forcing	47	0
Cloud_physics	165	0
Competitive_Enterprise_Institute	495	15
Conservatism_in_the_United_States	4682	1187257
Copenhagen	6041	29930
Copenhagen_Accord	260	0
Coral_reef	5278	4040
Current_sea_level_rise	2372	58718
Cynicism_(philosophy)	720	16
DIY_ethic	420	0
Deep_ecology	953	0
Deforestation	7040	11468
Degrowth	324	0
Detachment_(philosophy)	147	0
Downshifting	101	0
Drought	3016	3050
Drought_tolerance	30	0
Duane_Elgin	231	0
Dugald_Semple	55	0
E._F._Schumacher	355	0
Ecological_engineering	100	0
Ecological_footprint	1377	4956
Ecology_movement	210	0
Economic_impacts_of_climate_change	50	0
Economics_of_global_warming	856	1560
Effect_of_climate_change_on_plant_biodiversity	310	6
Effects_of_climate_change_on_humans	577	2575
Effects_of_climate_change_on_marine_mammals	96	48
Effects_of_global_warming	3889	12543
Effects_of_global_warming_on_Australia	493	36
Effects_of_global_warming_on_South_Asia	245	0
Emissions_trading	1930	126
Environmental_engineering	984	384
Environmental_impact_assessment	665	0
Environmental_impact_of_agriculture	94	0
Environmental_impact_of_aviation	450	0
Environmental_impact_of_biodiesel	72	0
Environmental_impact_of_cleaning_agents	29	0
Environmental_impact_of_concrete	29	0
Environmental_impact_of_electricity_generation	448	0
Environmental_impact_of_fishing	281	0
Environmental_impact_of_irrigation	151	0
Environmental_impact_of_meat_production	355	8
Environmental_impact_of_mining	182	0
Environmental_impact_of_nanotechnology	68	0
Environmental_impact_of_nuclear_power	702	133
Environmental_impact_of_paint	41	0
Environmental_impact_of_paper	143	0
Environmental_impact_of_pesticides	321	0
Environmental_impact_of_pharmaceuticals_and_personal_care_products	103	0
Environmental_impact_of_reservoirs	347	0
Environmental_impact_of_roads	74	0
Environmental_impact_of_shipping	131	0
Environmental_impact_of_the_coal_industry	574	190
Environmental_impact_of_the_energy_industry	194	12
Environmental_impact_of_the_oil_shale_industry	136	0
Environmental_impact_of_the_petroleum_industry	164	0
Environmental_impact_of_transport	82	0
Environmental_impact_of_war	121	16
Environmental_impact_of_wind_power	1041	371
Environmental_issue	229	0
Environmental_issues_with_coral_reefs	175	0
Environmental_migrant	409	0
Environmental_mitigation	88	0
Environmental_movement	851	56
Ernest_Callenbach	136	0
Escape_from_Affluenza	12	0
European_Climate_Change_Programme	80	0
Extinction	2303	448
Extinction_risk_from_global_warming	231	160
Extreme_weather	841	2272
ExxonMobil	2927	12430
Fisheries_and_climate_change	135	0
Food_miles	500	0
Forest_dieback	55	0
Forest_gardening	512	40
Fossil_fuel	5997	12412
Fossil-fuel_phase-out	693	760
Freeganism	969	30
Frugality	541	63
G8_Climate_Change_Roundtable	31	0
Genetic_pollution	664	525
Geologic_temperature_record	170	0
Geological_Society_of_America	117	0
George_W._Bush	45383	22940308
Gift_economy	1540	736
Glacial_period	155	0
Glacier	4451	3729
Global_climate_regime	21	0
Global_cooling	2216	119868
Global_dimming	1406	16
Global_warming	19833	7306583
Global_warming_(disambiguation)	9	0
Global_warming_controversy	6534	848151
Global_warming_hiatus	86	0
Global-warming_potential	330	72
Glossary_of_climate_change	299	0
Green_anarchism	771	96
Greenhouse_effect	4913	315946
Greenhouse_gas	5454	145215
Greenhouse_gas_emissions_accounting	15	0
Guy_Stewart_Callendar	68	0
Habitat_destruction	919	110
Harlan_Hubbard	47	0
Heat_wave	1280	1235
Henry_David_Thoreau	5046	4524
Hippie	10685	169092
Historical_climatology	113	0
History_of_climate_change_science	263	64
Human_impact_on_the_environment	557	24
Human_impact_on_the_nitrogen_cycle	186	0
Human_overpopulation	5304	21356
IPCC_Fifth_Assessment_Report	282	112
IPCC_Fourth_Assessment_Report	868	1980
IPCC_Second_Assessment_Report	61	0
IPCC_Third_Assessment_Report	80	0
Ice_age	4157	3538
Ice_sheet	310	66
Ice-albedo_feedback	37	0
Index_of_climate_change_articles	208	0
Indian_Ocean_Dipole	86	0
Individual_action_on_climate_change	25	0
Individual_and_political_action_on_climate_change	776	696
Infrared	3146	1300
Instrumental_temperature_record	1123	17357
Intentional_community	406	60
Intentional_living	66	0
Intergovernmental_Panel_on_Climate_Change	2545	154889
Iris_hypothesis	92	0
James_Hansen	1592	59236
Jesus_movement	578	108
Jim_Merkel	40	0
Joint_Implementation	55	0
Keeling_Curve	217	16
Kyoto_Protocol	7307	80050
Land_Allocation_Decision_Support_System	59	0
Land_degradation	452	30
Land_use	443	70
Land_use,_land-use_change_and_forestry	108	160
Leo_Tolstoy	2347	924
List_of_scientists_opposing_the_mainstream_scientific_assessment_of_global_warming	3391	441612
Little_Ice_Age	1907	14784
Long-term_effects_of_global_warming	196	48
Low-carbon_economy	585	6
Low-impact_development_(UK)	160	0
Manufactured_controversy	24	0
Mark_Boyle_(Moneyless_Man)	62	0
Media_coverage_of_climate_change	243	231
Mendicant	121	0
Methane	3061	2640
Milankovitch_cycles	885	310
Mitigation_banking	39	0
Monasticism	880	72
Mother_Earth_News	115	0
Movement_for_Compassionate_Living	58	0
Naomi_Oreskes	374	1410
National_Climate_Assessment	93	0
National_Geographic_(magazine)	684	165
Natural_environment	1913	242
Nature_Climate_Change	10	0
New_Monasticism	395	0
Nick_Rosen	60	0
No_frills	376	0
Nonviolence	1324	20
Nuclear_power	7579	175336
Nunavut	2575	504
Ocean_acidification	1127	48
Ocean_heat_content	44	0
Off-the-grid	358	0
Open_Source_Ecology	190	0
Orbital_forcing	76	0
Overexploitation	258	0
Ozone_depletion	3722	3531
Pacific_decadal_oscillation	206	0
Paleoclimatology	632	190
Particulates	902	0
Peace_Pilgrim	228	0
Peak_oil	3781	11644
Phenology	289	0
Phosphorus_cycle	662	48
Physical_impacts_of_climate_change	145	16
Plain_dress	65	0
Plain_people	164	0
Planetary_boundaries	956	13244
Politics_of_global_warming	824	350
Pollution	4946	9090
Population_growth	1151	6
Proxy_(climate)	161	0
Public_opinion_on_climate_change	510	3306
Quakers	5842	1920
Radiative_forcing	294	0
Rainwater_tank	399	0
Rastafari_movement	7421	24048
RealClimate	676	44774
Reducing_emissions_from_deforestation_and_forest_degradation	95	0
Reforestation	568	64
Regional_effects_of_global_warming	483	708
Renewable_energy	5945	20884
Restoration_ecology	351	0
Retreat_of_glaciers_since_1850	1844	812
Reuters	1369	1472
Richard_Gregg_(social_philosopher)	70	0
Runaway_climate_change	578	1432
Sami_Solanki	158	0
Satellite_temperature_measurements	643	920
Satish_Kumar	282	6
Scientific_opinion_on_climate_change	3210	122160
Scott_Nearing	344	0
Season_creep	143	0
Self-sufficiency	295	0
Shutdown_of_thermohaline_circulation	220	0
Simple_living	1451	25
Skeptical_Science	65	0
Slow_Movement	410	0
Small_Is_Beautiful	155	0
Small_house_movement	205	0
Social_and_environmental_impact_of_palm_oil	141	0
Solar_radiation_management	281	0
Solar_variation	1265	32140
Soot	414	0
Southern_Ocean	1349	230
Special_Report_on_Emissions_Scenarios	183	0
Subsistence_agriculture	461	20
Suelo	110	0
Sustainability	6525	622550
Sustainable_development	2842	588
Sustainable_living	718	0
Tax_resistance	794	0
Temperance_(virtue)	250	0
Temperature_record_of_the_past_1000_years	935	14650
Testimony_of_Simplicity	149	0
The_Good_Life_(1975_TV_series)	612	390
The_Moon_and_the_Sledgehammer	45	0
The_Power_of_Half	65	0
The_good_life	109	0
Thomas_(activist)	111	0
Thomas_Schelling	284	0
Tolstoyan_movement	332	0
Tom_Hodgkinson	99	0
Transition_Towns_(network)	386	0
Tundra	1547	140
United_Kingdom_Climate_Change_Programme	178	0
United_Nations_Environment_Programme	498	0
United_Nations_Framework_Convention_on_Climate_Change	917	0
Urban_heat_island	1104	11645
Urban_reforestation	54	0
Veganism	10091	677835
Vicki_Robin	51	0
Volumetric_heat_capacity	156	0
WWOOF	265	98
Walden	914	288
Waste_minimisation	257	0
Weather_modification	945	152
Wendell_Berry	1078	0
