article_id	talk_id	thread_id	thread_title	comments	users	users_hindex	max_depth	tree_hindex	chains_num	chains_comments
1038280	36514796	148	What in the World are they Spraying	4	4	1	2	2	0	0	{user:'88.113.96.60', children: [{user:'Arthur Rubin'}]}
1038280	36514796	153	Add [http://www.guardian.co.uk/environment/2011/jun/13/geoengineering-research-guidelines Global warming crisis may mean world has to suck greenhouse gases from air] ?	2	1	0	1	1	0	0	{user:'99.19.47.35'}
1038280	36514796	156	Add http://www.scientificamerican.com/article.cfm?id=at-un-convention-groups-push	2	2	1	2	1	0	0	{user:'141.218.36.44', children: [{user:'99.181.151.50'}]}
1038280	36514796	159	Add http://www.reuters.com/article/2010/10/21/us-geoengineering-idUSTRE69K18320101021	1	1	1	1	1	0	0	{user:'141.218.36.44'}
1038280	36514796	161	Clarify groups.google.com with [[Google Groups]]	5	4	1	5	1	1	1	{user:'99.181.139.210', children: [{user:'Arthur Rubin', children: [{user:'97.87.29.188', children: [{user:'Arthur Rubin', children: [{user:'216.250.156.66'}]}]}]}]}
1038280	36514796	167	Add SPICE?	1	1	1	1	1	0	0	{user:'97.87.29.188'}
1038280	36514796	169	Why was [[Arctic geoengineering]] removed?	1	1	1	1	1	0	0	{user:'141.218.36.152'}
1038280	36514796	171	potential resource	1	1	1	1	1	0	0	{user:'99.109.126.248'}
1038280	36514796	173	Futher Reading, (book review) resource?	1	1	1	1	1	0	0	{user:'99.19.44.155'}
1038280	36514796	175	Why isn't this included?	1	1	1	1	1	0	0	{user:'99.19.45.48'}
1038280	36514796	177	Resource	1	1	1	1	1	0	0	{user:'99.181.152.120'}
1038280	36514796	179	Resource with internal links	1	1	1	1	1	0	0	{user:'99.181.134.88'}
1038280	36514796	181	wp location?	1	1	1	1	1	0	0	{user:'99.181.147.96'}
1038280	36514796	183	rv Edit as this is more constructive of previously lost material, fyi	4	3	1	4	1	0	1	{user:'108.195.138.38', children: [{user:'Arthur Rubin', children: [{user:'99.181.142.87', children: [{user:'Arthur Rubin'}]}]}]}
1038280	36514796	188	A reference to geo-engineering?	2	2	1	2	1	0	0	{user:'99.181.133.134', children: [{user:'108.195.138.171'}]}
1038280	36514796	191	Why was this removed?	2	2	1	2	1	0	0	{user:'99.119.130.123', children: [{user:'Arthur Rubin'}]}
1038280	36514796	194	Here or more specific article or both?	1	1	1	1	1	0	0	{user:'108.73.113.107'}
1038280	36514796	196	&quot;the only known method&quot; ? ? ?	3	3	1	3	1	0	0	{user:'Darkman101', children: [{user:'AdventurousSquirrel', children: [{user:'NewsAndEventsGuy'}]}]}
1038280	36514796	200	Greenhouse gas remediation vs SRM	3	2	1	3	1	0	0	{user:'AdventurousSquirrel', children: [{user:'NewsAndEventsGuy', children: [{user:'NewsAndEventsGuy'}]}]}
1038280	36514796	204	The Global March Against Chemtrails and Geoengineering	1	1	1	1	1	0	0	{user:'Lo Ximiendo'}
1038280	36514796	206	Lead section	2	2	1	1	1	0	0	{user:'-1'}
1038280	36514796	209	Article is not balanced	1	1	1	1	1	0	0	{user:'184.166.6.102'}
1038280	40433305	211	Move/ rename	4	3	1	4	1	0	0	{user:'Vsmith', children: [{user:'NewsAndEventsGuy', children: [{user:'Bhny', children: [{user:'Bhny'}]}]}]}
1038280	40433305	217	Requested move 20:13, 26 July 2013 (UTC)	3	3	1	1	1	0	0	{user:'-1'}
1038280	40433305	221	Survey	7	6	1	3	1	0	0	{user:'Article editor'}
1038280	40433305	229	Discussion	2	2	1	1	1	0	0	{user:'76.65.128.222'}
1038280	40433305	232	Add new Geoengineering talk page	1	1	1	1	1	0	0	{user:'LinguisticEngineer'}
1038280	40433305	234	First sentence	5	5	1	5	1	0	0	{user:'LinguisticEngineer', children: [{user:'Bhny', children: [{user:'Vsmith', children: [{user:'Nigelj', children: [{user:'Belfrey'}]}]}]}]}
1038280	40433305	240	Proposal to undo recent move/rename	6	5	1	3	2	0	1	{user:'Belfrey', children: [{user:'NewsAndEventsGuy', children: [{user:'Vsmith'}{user:'Belfrey'}]}{user:'William M. Connolley'}{user:'Andrewjlockley'}]}
1038280	20921681	247	&quot;65 million years of climate change&quot;	1	1	1	1	1	0	0	{user:'Sarefo'}
1038280	20921681	250	Governance	1	1	1	1	1	0	0	{user:'-1'}
1038280	20921681	252	Proposed strategies	1	1	1	1	1	0	0	{user:'KVDP'}
1038280	20921681	254	Reference	1	1	1	1	1	0	0	{user:'Chriswaterguy'}
23423413	0	258	CIA Sponsored Programs	1	1	1	1	1	0	0	{user:'Johnvr4'}
23423413	23423413	261	General	1	1	1	1	1	0	0	{user:'Brian A Schmidt'}
23423413	23423413	263	Erratic photo	7	3	1	7	1	0	3	{user:'William M. Connolley', children: [{user:'Brian A Schmidt', children: [{user:'Brian A Schmidt', children: [{user:'Atmoz', children: [{user:'Brian A Schmidt', children: [{user:'Atmoz', children: [{user:'Brian A Schmidt'}]}]}]}]}]}]}
23423413	23423413	271	Problems with this article	9	3	0	4	3	0	2	{user:'ChildofMidnight', children: [{user:'Brian A Schmidt', children: [{user:'ChildofMidnight', children: [{user:'Brian A Schmidt'}]}]}]}
23423413	23423413	281	Sources	3	2	1	3	1	0	1	{user:'ChildofMidnight', children: [{user:'Brian A Schmidt', children: [{user:'ChildofMidnight'}]}]}
23423413	23423413	285	Climategate	4	4	1	4	1	0	0	{user:'Echofloripa', children: [{user:'Nigelj', children: [{user:'CurtisSwain', children: [{user:'Brian A Schmidt'}]}]}]}
23423413	23423413	290	In the early 1800's	4	3	1	4	1	0	1	{user:'William M. Connolley', children: [{user:'Brian A Schmidt', children: [{user:'Nigelj', children: [{user:'Brian A Schmidt'}]}]}]}
23423413	23423413	295	Text donation	2	2	1	2	1	0	0	{user:'William M. Connolley', children: [{user:'Brian A Schmidt'}]}
23423413	23423413	298	Prior to the 1700s, scientists had not suspected that prehistoric climates were different from the modern period.	1	1	1	1	1	0	0	{user:'William M. Connolley'}
23423413	23423413	300	THSI	3	3	1	3	1	0	0	{user:'William M. Connolley', children: [{user:'Cla68', children: [{user:'KimDabelsteinPetersen'}]}]}
23423413	23423413	304	Broecker (1975)	2	1	0	1	1	0	0	{user:'Tasty monster'}
23423413	23423413	307	Article assessment	4	2	2	3	2	0	1	{user:'Thparkth', children: [{user:'Q Science'}{user:'Q Science', children: [{user:'Thparkth'}]}]}
23423413	23423413	312	Proposed revision	1	1	1	1	1	0	0	{user:'Sweart1'}
23423413	23423413	314	Al Gore	2	2	1	1	1	0	0	{user:'2610:E0:A040:7EFD:D53D:D28B:1BF5:A112'}
23423379	0	319	David Hume	1	1	1	1	1	0	0	{user:'Aquila89'}
23423379	23423413	322	General	1	1	1	1	1	0	0	{user:'Brian A Schmidt'}
23423379	23423413	324	Erratic photo	7	3	1	7	1	0	3	{user:'William M. Connolley', children: [{user:'Brian A Schmidt', children: [{user:'Brian A Schmidt', children: [{user:'Atmoz', children: [{user:'Brian A Schmidt', children: [{user:'Atmoz', children: [{user:'Brian A Schmidt'}]}]}]}]}]}]}
23423379	23423413	332	Problems with this article	9	3	0	4	3	0	2	{user:'ChildofMidnight', children: [{user:'Brian A Schmidt', children: [{user:'ChildofMidnight', children: [{user:'Brian A Schmidt'}]}]}]}
23423379	23423413	342	Sources	3	2	1	3	1	0	1	{user:'ChildofMidnight', children: [{user:'Brian A Schmidt', children: [{user:'ChildofMidnight'}]}]}
23423379	23423413	346	Climategate	4	4	1	4	1	0	0	{user:'Echofloripa', children: [{user:'Nigelj', children: [{user:'CurtisSwain', children: [{user:'Brian A Schmidt'}]}]}]}
23423379	23423413	351	In the early 1800's	4	3	1	4	1	0	1	{user:'William M. Connolley', children: [{user:'Brian A Schmidt', children: [{user:'Nigelj', children: [{user:'Brian A Schmidt'}]}]}]}
23423379	23423413	356	Text donation	2	2	1	2	1	0	0	{user:'William M. Connolley', children: [{user:'Brian A Schmidt'}]}
23423379	23423413	359	Prior to the 1700s, scientists had not suspected that prehistoric climates were different from the modern period.	1	1	1	1	1	0	0	{user:'William M. Connolley'}
23423379	23423413	361	THSI	3	3	1	3	1	0	0	{user:'William M. Connolley', children: [{user:'Cla68', children: [{user:'KimDabelsteinPetersen'}]}]}
23423379	23423413	365	Broecker (1975)	2	1	0	1	1	0	0	{user:'Tasty monster'}
23423379	23423413	368	Article assessment	4	2	2	3	2	0	1	{user:'Thparkth', children: [{user:'Q Science'}{user:'Q Science', children: [{user:'Thparkth'}]}]}
23423379	23423413	373	Proposed revision	1	1	1	1	1	0	0	{user:'Sweart1'}
23423379	23423413	375	Al Gore	2	2	1	1	1	0	0	{user:'2610:E0:A040:7EFD:D53D:D28B:1BF5:A112'}
327311	0	380	David Hume	1	1	1	1	1	0	0	{user:'Aquila89'}
327311	1855016	383	On the merge-with-GW	9	4	1	2	2	0	0	{user:'Robert Merkel'}
327311	1855016	393	Eds intro	16	3	1	2	2	0	0	{user:'-1'}
327311	1855016	410	Bray and von Storch	2	2	1	1	1	0	0	{user:'Ed Poor'}
327311	1855016	413	Eds Eds	1	1	1	1	1	0	0	{user:'-1'}
327311	1855016	415	New Articles: [[Global climate change]] and [[Climate forcings]]	1	1	1	1	1	0	0	{user:'Benapgar'}
327311	1855016	417	Science 2004	21	3	1	4	4	0	0	{user:'-1', children: [{user:'-1', children: [{user:'-1'}{user:'Silverback'}]}]}
327311	13104511	439	On adding &quot;non peer reviewed&quot;	3	2	1	2	2	0	0	{user:'Silverback', children: [{user:'-1'}{user:'Silverback'}]}
327311	13104511	444	NREP Study	1	1	1	1	1	0	0	{user:'Zoomwsu'}
327311	13104511	446	Public opinion	1	1	1	1	1	0	0	{user:'-1'}
327311	13104511	448	Political section?	9	3	0	3	2	0	0	{user:'Vsmith', children: [{user:'Atlastawake'}]}
327311	13104511	458	IPCC authors paragraph	31	7	1	6	4	0	0	{user:'Vsmith'}
327311	13104511	490	1992 Gallup poll	9	2	1	2	2	0	0	{user:'-1', children: [{user:'-1'}]}
327311	13104511	500	Peisner	14	4	3	4	3	0	0	{user:'-1'}
327311	13104511	515	Rm IPCC intro text	2	1	0	1	1	0	0	{user:'-1'}
327311	13104511	518	1991 Gallup Poll, 1990 and 1992 reports	6	3	1	4	2	0	2	{user:'Guettarda', children: [{user:'William M. Connolley', children: [{user:'Guettarda', children: [{user:'William M. Connolley'}]}]}]}
327311	13104511	525	House of Lords	12	7	1	4	3	0	1	{user:'Guettarda', children: [{user:'SEWilco', children: [{user:'Vsmith', children: [{user:'SEWilco'}]}]}{user:'SEWilco'}]}
327311	13104511	538	Individuals	1	1	1	1	1	0	0	{user:'William M. Connolley'}
327311	13104511	540	Lancet; from GW	2	2	1	1	1	0	0	{user:'-1'}
327311	13104511	543	GW verses AGW	6	4	2	5	1	0	0	{user:'-1'}
327311	13104511	550	Breaking News	2	2	1	2	1	0	0	{user:'Count Iblis', children: [{user:'William M. Connolley'}]}
327311	13104511	553	Surveys	16	6	2	4	3	0	0	{user:'William M. Connolley', children: [{user:'-1'}{user:'Sln3412'}]}
327311	13104511	570	Recent changes	6	3	1	2	1	0	0	{user:'Ed Poor'}
327311	13104511	577	Intro reversion	4	4	1	2	1	0	0	{user:'-1'}
327311	13104511	582	Survey of US state climatologists	9	4	1	5	2	2	2	{user:'Edbanky', children: [{user:'Guettarda', children: [{user:'Edbanky', children: [{user:'William M. Connolley', children: [{user:'Edbanky'}{user:'Edbanky'}]}]}]}]}
327311	13104511	592	Survey of US state climatologists section should be deleted	4	3	1	4	1	1	1	{user:'Osbojos', children: [{user:'Raymond arritt', children: [{user:'Osbojos', children: [{user:'Oren0'}]}]}]}
327311	13104511	597	What about Mars?	7	6	1	2	2	0	0	{user:'-1'}
327311	13104511	605	Literature search	12	6	1	6	2	0	0	{user:'-1'}
327311	13104511	618	Dissent	21	6	2	6	4	2	1	{user:'Ed Poor', children: [{user:'DMorpheus', children: [{user:'Ed Poor', children: [{user:'TheOuthouseMouse'}{user:'Raymond arritt', children: [{user:'DMorpheus', children: [{user:'Sln3412'}]}]}]}]}]}
327311	13104511	640	New Singer para cut	22	5	1	8	2	0	0	{user:'-1'}
327311	13104511	663	Water Vapor, greenhouse gas, greenhouse effect et al	3	2	1	2	1	0	0	{user:'-1'}
327311	14713568	667	Peiser again	9	4	2	4	2	1	1	{user:'William M. Connolley', children: [{user:'90.8.162.59', children: [{user:'William M. Connolley', children: [{user:'Raymond arritt'}]}]}]}
327311	14713568	678	Khandekar, 2007	89	11	1	16	6	0	0	{user:'William M. Connolley'}
327311	14713568	768	AEB: New move by CE	12	10	2	4	2	0	0	{user:'Childhoodsend', children: [{user:'Nethgirb'}{user:'Count Iblis'}{user:'Stephan Schulz'}{user:'Oren0'}{user:'Childhoodsend'}{user:'William M. Connolley'}{user:'Raymond arritt'}{user:'TeaDrinker'}{user:'The machine512', children: [{user:'Raymond arritt', children: [{user:'UBeR'}]}]}]}
327311	14713568	781	NREP	2	2	1	1	1	0	0	{user:'Raymond arritt'}
327311	14713568	784	National Registry of Environmental Professionals, 2006	21	6	0	11	4	0	0	{user:'-1'}
327311	18374123	806	Section break - NREP and Page Criteria	14	6	1	5	3	0	2	{user:'Oren0', children: [{user:'Raymond arritt', children: [{user:'Oren0', children: [{user:'Raymond arritt'}]}]}{user:'William M. Connolley'}]}
327311	18374123	822	Wikiproject Earth	2	2	1	1	1	0	0	{user:'Iwilleditu'}
327311	18374123	825	Paleontological Research Institution	2	2	1	2	1	0	0	{user:'CurtisSwain', children: [{user:'Raymond arritt'}]}
327311	18374123	828	Government agencies	6	4	2	4	1	0	0	{user:'Raymond arritt', children: [{user:'The Founders Intent', children: [{user:'Stephan Schulz', children: [{user:'Raymond arritt'}]}{user:'CurtisSwain', children: [{user:'CurtisSwain'}]}]}]}
327311	18374123	835	What, are other global warming articles based on &quot;unscientific&quot; opinion?	5	4	1	5	1	1	1	{user:'Leladax', children: [{user:'Oren0', children: [{user:'Leladax', children: [{user:'CurtisSwain', children: [{user:'Childhoodsend'}]}]}]}]}
327311	18374123	841	Statement order?	5	3	2	3	2	0	0	{user:'Oren0', children: [{user:'Raymond arritt', children: [{user:'CurtisSwain'}]}{user:'Oren0', children: [{user:'CurtisSwain'}]}]}
327311	18374123	847	History of scientific opinion	3	3	1	3	1	0	0	{user:'Gabriel Kielland', children: [{user:'Stephan Schulz', children: [{user:'CurtisSwain'}]}]}
327311	18374123	851	Conformity in the headings	1	1	1	1	1	0	0	{user:'CurtisSwain'}
327311	18374123	853	Older Surveys	4	2	1	3	1	0	1	{user:'N p holmes', children: [{user:'Raymond arritt', children: [{user:'N p holmes'}]}]}
327311	18374123	858	Heartland Institute dead link	1	1	1	1	1	0	0	{user:'N p holmes'}
327311	18374123	860	Are there currently any documented polls or surveys of scientists with knowledge of climate change, which reflect a consensus as to the extent and cause of climate change?	22	6	1	13	2	0	0	{user:'-1'}
327311	18374123	883	....take a breath....okay, Part 2	21	9	2	10	4	1	2	{user:'Sirwells', children: [{user:'205.200.179.72'}{user:'195.27.12.230', children: [{user:'Sirwells', children: [{user:'195.27.12.230'}{user:'195.27.12.230'}]}]}]}
327311	18374123	905	....take a breath....okay, Part 3	18	7	2	7	3	1	2	{user:'Merzul', children: [{user:'The Founders Intent', children: [{user:'Stephan Schulz'}{user:'The Founders Intent'}{user:'Merzul', children: [{user:'The Founders Intent'}{user:'Sirwells', children: [{user:'195.27.12.230'}]}]}]}]}
327311	18374123	924	....take a breath....okay, Part 4	7	4	1	6	1	0	3	{user:'Count Iblis', children: [{user:'Merzul', children: [{user:'Sirwells', children: [{user:'Merzul', children: [{user:'Sirwells', children: [{user:'Merzul'}]}]}]}]}]}
327311	18374123	932	Is the existence of a properly run poll or survey relevant for determining whether or not a &quot;consensus&quot; of qualified scientists exist over controversial scientific issues?	5	4	1	3	1	0	1	{user:'Sirwells', children: [{user:'Stephan Schulz', children: [{user:'Sirwells'}]}]}
327311	18374123	938	Sources, please	21	10	1	6	3	0	0	{user:'Merzul', children: [{user:'Medallion of Phat', children: [{user:'Stephan Schulz', children: [{user:'Merzul', children: [{user:'Medallion of Phat', children: [{user:'Nethgirb'}]}]}]}]}]}
327311	18374123	960	The Text on Scientific Consensus	25	7	1	12	2	4	10	{user:'Sirwells', children: [{user:'Nethgirb', children: [{user:'Sirwells', children: [{user:'KimDabelsteinPetersen', children: [{user:'Sirwells', children: [{user:'KimDabelsteinPetersen', children: [{user:'Sirwells', children: [{user:'KimDabelsteinPetersen', children: [{user:'Sirwells', children: [{user:'KimDabelsteinPetersen', children: [{user:'Sirwells', children: [{user:'Raymond arritt'}]}]}]}]}]}{user:'Sirwells', children: [{user:'KimDabelsteinPetersen', children: [{user:'Sirwells', children: [{user:'Stephan Schulz', children: [{user:'Sirwells'}]}]}]}]}]}]}]}]}]}]}
327311	18374123	986	Add 2008 U.S. Scientific Assessment?	8	4	1	5	2	0	2	{user:'Diafygi', children: [{user:'Jason Patton', children: [{user:'Nethgirb', children: [{user:'Jason Patton', children: [{user:'Nethgirb'}]}]}]}]}
327311	18374123	995	International Council for Science	2	1	0	1	1	0	0	{user:'N p holmes'}
327311	18374123	998	American Physical Society	3	2	1	3	1	0	1	{user:'SpudHawg948', children: [{user:'Eldereft', children: [{user:'SpudHawg948'}]}]}
327311	18374123	1002	Physics &amp; Society - A Forum of the American Physical Society	4	4	1	3	2	0	0	{user:'JAMWebMonk', children: [{user:'William M. Connolley'}{user:'Jason Patton', children: [{user:'Pytom'}]}]}
327311	18374123	1007	Bray &amp; von Storch	2	2	1	2	1	0	0	{user:'JzG', children: [{user:'N p holmes'}]}
327311	18374123	1010	APEGGA survey	15	7	1	5	3	0	0	{user:'-1'}
327311	18374123	1026	AASC  statement no longer up to date?	2	2	1	2	1	0	0	{user:'69.136.247.93', children: [{user:'Basil &amp;quot;Basil&amp;quot; Fawlty'}]}
327311	18374123	1029	Remove &quot;Scientific consensus&quot; section?	17	12	2	5	3	0	1	{user:'CurtisSwain', children: [{user:'195.27.12.230', children: [{user:'Stephan Schulz', children: [{user:'Nethgirb'}{user:'N p holmes', children: [{user:'Nethgirb'}{user:'Merzul'}]}]}]}{user:'Apis O-tang', children: [{user:'Phase Theory', children: [{user:'Stephan Schulz', children: [{user:'Phase Theory'}]}]}]}]}
327311	18374123	1047	American Public Health Association?	1	1	1	1	1	0	0	{user:'CurtisSwain'}
327311	18374123	1049	Add National Oceanic and Atmospheric Administration (NOAA) Opinion	2	2	1	2	1	0	0	{user:'Yorichid', children: [{user:'Stephan Schulz'}]}
327311	18374123	1052	Good source for learned societies	1	1	1	1	1	0	0	{user:'CurtisSwain'}
327311	18374123	1054	&quot;Consensus&quot; does not mean &quot;Correct&quot;	15	10	2	5	2	2	2	{user:'Lexlex', children: [{user:'Raul654', children: [{user:'Lexlex', children: [{user:'KimDabelsteinPetersen'}{user:'98.108.201.42', children: [{user:'Lexlex'}]}]}]}{user:'Jaymax'}{user:'William M. Connolley'}{user:'98.108.201.42'}]}
327311	18374123	1070	Water Environment Organizations?	3	2	1	3	1	0	1	{user:'CurtisSwain', children: [{user:'Stephan Schulz', children: [{user:'CurtisSwain'}]}]}
327311	18374123	1074	Structure	4	2	2	3	2	0	0	{user:'Rd232', children: [{user:'CurtisSwain'}{user:'Rd232', children: [{user:'CurtisSwain'}]}]}
327311	18374123	1079	Structure changes	9	4	1	4	3	0	1	{user:'CurtisSwain', children: [{user:'Stephan Schulz'}{user:'Rd232', children: [{user:'Stephan Schulz', children: [{user:'Rd232'}]}{user:'William M. Connolley'}]}]}
327311	18374123	1089	Remove IUGS and AFS?	1	1	1	1	1	0	0	{user:'CurtisSwain'}
327311	18374123	1091	Bray and von Storch survey	4	2	2	3	1	0	0	{user:'Gmb92'}
327311	18374123	1096	Danish National Space Center	4	4	1	3	1	0	0	{user:'CurtisSwain', children: [{user:'70.143.64.199', children: [{user:'Apis O-tang'}{user:'Jaymax'}]}]}
327311	18374123	1101	new addition removed	1	1	1	1	1	0	0	{user:'TeaDrinker'}
327311	18374123	1103	Consensus?   &quot;oft-repeated assertions of a supposed ‘consensus’ among climate experts are false&quot; - 700 Qualified Endorsers of the Manhattan Declaration	4	4	1	4	1	0	0	{user:'Fogus', children: [{user:'Raul654', children: [{user:'Stephan Schulz', children: [{user:'CurtisSwain'}]}]}]}
327311	18374123	1108	Individual Dissenters	4	4	1	2	1	0	0	{user:'Jaymax', children: [{user:'CurtisSwain'}]}
327311	18374123	1113	Japan Society of Energy and Resources	2	2	1	2	1	0	0	{user:'Designsquid', children: [{user:'Stephan Schulz'}]}
327311	23300921	1116	U. of Chicago/Doran and Zimmerman survey	40	10	2	10	3	2	6	{user:'Gmb92', children: [{user:'Atmoz', children: [{user:'KimDabelsteinPetersen', children: [{user:'Dragons flight', children: [{user:'Stephan Schulz', children: [{user:'Atmoz', children: [{user:'Stephan Schulz', children: [{user:'Atmoz', children: [{user:'Stephan Schulz'}{user:'Atmoz'}]}]}]}{user:'Dragons flight', children: [{user:'Atmoz', children: [{user:'Stephan Schulz', children: [{user:'Atmoz', children: [{user:'Short Brigade Harvester Boris'}]}]}]}]}]}]}]}]}]}
327311	23300921	1158	Canada Federation of Earth Sciences?	16	6	1	7	3	1	7	{user:'Oren0', children: [{user:'Short Brigade Harvester Boris', children: [{user:'Oren0', children: [{user:'Short Brigade Harvester Boris', children: [{user:'Oren0', children: [{user:'Stephan Schulz', children: [{user:'Oren0'}]}]}]}]}]}{user:'-1'}{user:'CurtisSwain'}{user:'Raul654', children: [{user:'Oren0', children: [{user:'Raul654', children: [{user:'Oren0'}]}]}]}]}
327311	23300921	1175	Add 2007 STATS/Harris poll	16	6	2	6	4	1	3	{user:'Jaymax', children: [{user:'Short Brigade Harvester Boris', children: [{user:'CurtisSwain', children: [{user:'Jaymax'}]}]}{user:'Gmb92', children: [{user:'Jaymax', children: [{user:'Short Brigade Harvester Boris'}{user:'Gmb92', children: [{user:'Jaymax'}]}]}]}]}
327311	23300921	1192	External links	2	2	1	2	1	0	0	{user:'N p holmes', children: [{user:'CurtisSwain'}]}
327311	23300921	1195	This article proves that the claim of a consensus is misleading.	2	2	1	2	1	0	0	{user:'Rsduhamel', children: [{user:'CurtisSwain'}]}
327311	23300921	1198	Include WHO?	3	2	1	3	1	0	1	{user:'CurtisSwain', children: [{user:'Jaymax', children: [{user:'CurtisSwain'}]}]}
327311	23300921	1202	&quot;Scientific Opinion&quot; is a POV title	25	7	2	5	4	0	0	{user:'Mrathel', children: [{user:'Mrathel', children: [{user:'Mrathel'}]}]}
327311	23300921	1228	What is a synthesis report?	6	4	1	4	1	0	0	{user:'-1'}
327311	23300921	1235	Reorganise Intro?	3	2	1	2	1	0	0	{user:'Jaymax'}
327311	23300921	1239	Polish geologists	13	9	2	7	3	1	1	{user:'William M. Connolley', children: [{user:'Jaymax'}{user:'Jaymax', children: [{user:'Oren0', children: [{user:'Short Brigade Harvester Boris', children: [{user:'Oren0', children: [{user:'Jaymax', children: [{user:'CurtisSwain'}]}]}]}]}]}]}
327311	23300921	1253	PAS	4	2	1	3	1	1	1	{user:'Adi', children: [{user:'Short Brigade Harvester Boris', children: [{user:'Adi'}{user:'Adi'}]}]}
327311	23300921	1258	Input  requested for sandbox article, &quot;History of climate change science&quot;	4	3	1	3	1	0	0	{user:'Brian_A_Schmidt'}
327311	23300921	1263	[[Consensus on climate change controversy]]	18	5	1	7	3	0	0	{user:'Disembrangler', children: [{user:'Jaymax'}{user:'Jaymax'}]}
